V_m13,V_m24,V_m36,growth_annual,min_cash,rev_y3,status,stock_m12,stock_m24,stock_m36,van,variant
2.0,2.0,3.0,1.0,-34823.071,525504.349,Optimal,55.758266,128.24401,256.48802,2542.323479887913,band-fixed
2.0,2.0,3.0,1.0,-39823.295,589563.997,Optimal,55.758266,122.66819,288.713,55846.83632642763,band-grow
2.0,8.0,41.0,4.787789558853268,-15792.744,3323593.3200000003,Optimal,55.758266,371.12468,2147.9915,2797479.6901862184,band-mom
,,,1.0,,,Unbounded,,,,,band-min-only
3.0,14.0,26.0,1.0,-11917.656,4671196.75,Optimal,55.758266,764.58588,2493.0202,3829866.31190677,band-min-hire
