M,VC,V_m12,V_m13,V_m36,breakeven_month,case,min_cash,min_cash_month,rev_y1,rev_y2,rev_y3,van,van_over_rev_y3
3.0,50000.0,2.0,3.0,3.0,30,vc50k-m3,-63292.939,15,82527.3435,359500.906,451083.53,-25817.774460923574,-0.0572350191125878
5.0,50000.0,2.0,6.0,6.0,21,vc50k-m5,-61917.656,12,82527.3435,573114.152,754501.396,220056.9267945516,0.2916587404094765
8.0,50000.0,2.0,9.0,9.0,18,vc50k-m8,-61917.656,12,82527.3435,866108.247,1189365.993,609693.5652587418,0.5126206473424382
12.0,50000.0,2.0,12.0,12.0,16,vc50k-m12,-61917.656,12,82527.3435,1238483.203,1755677.33,1143278.3419281705,0.6511893286952509
3.0,100000.0,2.0,3.0,3.0,30,vc100k-m3,-13292.939,15,82527.3435,359500.906,451083.53,-75817.77446092357,-0.16807923459525015
5.0,100000.0,2.0,6.0,6.0,21,vc100k-m5,-11917.656,12,82527.3435,573114.152,754501.396,170056.9267945516,0.22538981066981567
8.0,100000.0,2.0,9.0,9.0,18,vc100k-m8,-11917.656,12,82527.3435,866108.247,1189365.993,559693.5652587418,0.47058144301486
12.0,100000.0,2.0,12.0,12.0,16,vc100k-m12,-11917.656,12,82527.3435,1238483.203,1755677.33,1093278.3419281705,0.6227102914908461
